2018-10-29 17:59:41.056063
 4160: 11.300000/100
 4170: 13.900000/100
 4180: 10.900000/100
 4190: 12.400000/100
 4200: 12.200000/100
 4210: 13.600000/100
 4220: 11.900000/100
 4230: 10.900000/100
 4240: 13.300000/100
 4250: 16.400000/100
 4260: 11.800000/100
 4270: 12.200000/100
 4280: 12.700000/100
 4290: 13.500000/100
 4300: 12.500000/100
 4310: 11.000000/100
 4320: 12.700000/100
 4330: 12.300000/100
 4340: 12.300000/100
 4350: 10.600000/100
 4360: 11.900000/100
 4370: 11.500000/100
 4380: 11.500000/100
 4390: 11.600000/100
 4400: 13.600000/100
 4410: 12.000000/100
 4420: 11.800000/100
 4430: 13.100000/100
 4440: 12.000000/100
 4450: 11.800000/100
 4460: 12.300000/100
 4470: 10.800000/100
 4480: 12.200000/100
 4490: 11.900000/100
 4500: 12.400000/100
 4510: 11.600000/100
 4520: 12.900000/100
 4530: 13.900000/100
 4540: 16.200000/100
 4550: 11.200000/100
 4560: 11.200000/100
 4570: 11.600000/100
 4580: 13.200000/100
 4590: 11.200000/100
 4600: 11.700000/100
 4610: 12.900000/100
 4620: 12.400000/100
 4630: 13.000000/100
 4640: 13.800000/100
 4650: 14.800000/100
 4660: 12.400000/100
 4670: 15.300000/100
 4680: 11.700000/100
 4690: 11.500000/100
 4700: 10.500000/100
 4710: 14.200000/100
 4720: 13.200000/100
 4730: 13.300000/100
 4740: 12.300000/100
 4750: 12.400000/100
 4760: 13.900000/100
 4770: 12.300000/100
 4780: 12.200000/100
 4790: 13.100000/100
 4800: 11.900000/100
 4810: 12.700000/100
 4820: 15.000000/100
 4830: 11.000000/100
 4840: 11.300000/100
 4850: 12.400000/100
 4860: 12.600000/100
 4870: 13.900000/100
 4880: 12.400000/100
 4890: 14.000000/100
 4900: 10.800000/100
 4910: 14.700000/100
 4920: 11.700000/100
 4930: 14.000000/100
 4940: 13.000000/100
 4950: 14.400000/100
 4960: 12.700000/100
 4970: 14.600000/100
 4980: 13.100000/100
 4990: 12.500000/100
 5000: 14.700000/100
 5010: 11.600000/100
 5020: 11.700000/100
 5030: 13.200000/100
 5040: 11.900000/100
 5050: 12.100000/100
 5060: 11.200000/100
 5070: 11.100000/100
 5080: 11.300000/100
 5090: 12.100000/100
 5100: 12.100000/100
 5110: 12.200000/100
 5120: 12.000000/100
 5130: 12.700000/100
 5140: 11.700000/100
 5150: 11.800000/100
 5160: 12.900000/100
 5170: 11.200000/100
 5180: 13.300000/100
 5190: 12.900000/100
 5200: 10.500000/100
 5210: 14.600000/100
 5220: 14.400000/100
 5230: 14.500000/100
 5240: 13.800000/100
 5250: 11.500000/100
 5260: 11.900000/100
 5270: 10.800000/100
 5280: 12.700000/100
 5290: 11.100000/100
 5300: 10.500000/100
 5310: 11.200000/100
 5320: 13.200000/100
 5330: 14.400000/100
 5340: 9.800000/100
 5350: 11.400000/100
 5360: 11.500000/100
 5370: 12.300000/100
 5380: 12.500000/100
 5390: 12.600000/100
 5400: 12.600000/100
 5410: 13.300000/100
 5420: 12.000000/100
 5430: 13.500000/100
 5440: 10.400000/100
 5450: 11.800000/100
 5460: 12.000000/100
 5470: 11.800000/100
 5480: 12.100000/100
 5490: 11.900000/100
 5500: 13.500000/100
 5510: 11.400000/100
 5520: 13.200000/100
 5530: 12.200000/100
 5540: 14.900000/100
 5550: 14.000000/100
 5560: 10.600000/100
 5570: 12.100000/100
 5580: 12.500000/100
 5590: 11.700000/100
 5600: 11.900000/100
 5610: 11.900000/100
 5620: 12.500000/100
 5630: 11.800000/100
 5640: 12.700000/100
 5650: 12.400000/100
 5660: 12.200000/100
 5670: 11.900000/100
 5680: 12.200000/100
 5690: 12.100000/100
 5700: 13.100000/100
 5710: 12.200000/100
 5720: 13.300000/100
 5730: 11.000000/100
 5740: 9.700000/100
 5750: 11.600000/100
 5760: 11.200000/100
 5770: 12.100000/100
 5780: 11.400000/100
 5790: 13.200000/100
 5800: 12.300000/100
 5810: 11.600000/100
 5820: 12.500000/100
 5830: 12.200000/100
 5840: 13.000000/100
 5850: 13.200000/100
 5860: 12.000000/100
 5870: 12.300000/100
 5880: 11.200000/100
 5890: 11.500000/100
 5900: 12.100000/100
 5910: 12.700000/100
 5920: 13.000000/100
 5930: 10.700000/100
 5940: 11.100000/100
 5950: 11.800000/100
 5960: 9.500000/100
 5970: 10.800000/100
 5980: 12.200000/100
 5990: 10.600000/100
 6000: 11.800000/100
 6010: 13.000000/100
 6020: 12.600000/100
 6030: 11.500000/100
 6040: 11.200000/100
 6050: 11.500000/100
 6060: 12.400000/100
 6070: 12.400000/100
 6080: 12.800000/100
 6090: 12.700000/100
 6100: 14.400000/100
 6110: 13.400000/100
 6120: 10.600000/100
 6130: 13.300000/100
 6140: 12.300000/100
 6150: 11.400000/100
 6160: 11.400000/100
 6170: 12.900000/100
 6180: 12.600000/100
 6190: 11.200000/100
 6200: 12.900000/100
 6210: 12.700000/100
 6220: 12.500000/100
 6230: 11.000000/100
 6240: 12.200000/100
 6250: 13.200000/100
 6260: 11.100000/100
 6270: 12.100000/100
 6280: 15.100000/100
 6290: 13.100000/100
 6300: 12.300000/100
 6310: 10.300000/100
 6320: 13.300000/100
 6330: 11.600000/100
 6340: 12.200000/100
 6350: 10.600000/100
 6360: 13.900000/100
 6370: 11.900000/100
 6380: 12.100000/100
 6390: 12.600000/100
 6400: 13.100000/100
 6410: 12.300000/100
 6420: 10.100000/100
 6430: 13.900000/100
 6440: 13.500000/100
 6450: 11.700000/100
 6460: 11.300000/100
 6470: 13.800000/100
 6480: 11.400000/100
 6490: 11.900000/100
 6500: 12.200000/100
 6510: 11.400000/100
 6520: 13.100000/100
 6530: 12.800000/100
 6540: 13.300000/100
 6550: 10.500000/100
 6560: 13.900000/100
 6570: 12.900000/100
 6580: 14.800000/100
 6590: 12.800000/100
 6600: 13.900000/100
 6610: 12.500000/100
 6620: 13.800000/100
 6630: 11.400000/100
 6640: 14.200000/100
 6650: 13.100000/100
 6660: 13.800000/100
 6670: 12.100000/100
 6680: 12.700000/100
 6690: 13.800000/100
 6700: 13.400000/100
 6710: 11.900000/100
 6720: 14.000000/100
 6730: 12.600000/100
 6740: 13.900000/100
 6750: 12.600000/100
 6760: 11.200000/100
 6770: 11.800000/100
 6780: 12.800000/100
 6790: 11.600000/100
 6800: 13.500000/100
 6810: 13.400000/100
 6820: 12.000000/100
 6830: 13.600000/100
 6840: 12.500000/100
 6850: 13.600000/100
 6860: 14.600000/100
 6870: 11.400000/100
 6880: 13.900000/100
 6890: 12.800000/100
 6900: 12.200000/100
 6910: 13.200000/100
 6920: 14.400000/100
 6930: 11.700000/100
 6940: 13.700000/100
 6950: 14.300000/100
 6960: 14.800000/100
 6970: 13.000000/100
 6980: 13.400000/100
 6990: 12.900000/100
 7000: 11.800000/100
 7010: 13.900000/100
 7020: 17.100000/100
 7030: 12.700000/100
 7040: 13.400000/100
 7050: 14.200000/100
 7060: 14.000000/100
 7070: 12.100000/100
 7080: 12.900000/100
 7090: 13.500000/100
 7100: 11.400000/100
 7110: 12.100000/100
 7120: 12.600000/100
 7130: 12.900000/100
 7140: 12.600000/100
 7150: 15.900000/100
 7160: 14.700000/100
 7170: 12.700000/100
 7180: 14.900000/100
 7190: 12.100000/100
 7200: 13.900000/100
 7210: 14.200000/100
 7220: 12.100000/100
 7230: 13.900000/100
 7240: 14.100000/100
 7250: 13.900000/100
 7260: 13.100000/100
 7270: 12.900000/100
 7280: 11.800000/100
 7290: 13.400000/100
 7300: 12.800000/100
 7310: 13.700000/100
 7320: 13.700000/100
 7330: 12.200000/100
 7340: 13.800000/100
 7350: 13.700000/100
 7360: 13.100000/100
 7370: 14.100000/100
 7380: 12.800000/100
 7390: 13.900000/100
 7400: 12.300000/100
 7410: 13.800000/100
 7420: 11.700000/100
 7430: 12.300000/100
 7440: 11.800000/100
 7450: 13.200000/100
 7460: 11.000000/100
 7470: 11.400000/100
 7480: 12.300000/100
 7490: 12.300000/100
 7500: 11.200000/100
 7510: 14.000000/100
 7520: 14.300000/100
 7530: 14.900000/100
 7540: 15.600000/100
 7550: 13.100000/100
 7560: 12.700000/100
 7570: 12.000000/100
 7580: 12.300000/100
 7590: 12.900000/100
 7600: 12.200000/100
 7610: 14.000000/100
 7620: 13.300000/100
 7630: 11.800000/100
 7640: 12.700000/100
 7650: 10.300000/100
 7660: 13.500000/100
 7670: 12.200000/100
 7680: 14.100000/100
 7690: 13.900000/100
 7700: 12.100000/100
 7710: 13.500000/100
 7720: 11.400000/100
 7730: 12.700000/100
 7740: 11.400000/100
 7750: 12.400000/100
 7760: 13.600000/100
 7770: 11.900000/100
 7780: 11.000000/100
 7790: 12.000000/100
 7800: 12.100000/100
 7810: 11.800000/100
 7820: 13.300000/100
 7830: 12.700000/100
 7840: 12.000000/100
 7850: 12.700000/100
 7860: 13.000000/100
 7870: 12.500000/100
 7880: 13.400000/100
 7890: 13.100000/100
 7900: 13.300000/100
 7910: 11.500000/100
 7920: 12.600000/100
 7930: 13.900000/100
 7940: 13.200000/100
 7950: 14.500000/100
 7960: 11.200000/100
 7970: 10.000000/100
 7980: 14.600000/100
 7990: 13.300000/100
 8000: 13.500000/100
 8010: 12.800000/100
 8020: 13.800000/100
 8030: 12.000000/100
 8040: 13.300000/100
 8050: 11.600000/100
 8060: 12.400000/100
 8070: 11.800000/100
 8080: 13.100000/100
 8090: 11.500000/100
 8100: 12.000000/100
 8110: 13.800000/100
 8120: 11.300000/100
 8130: 12.900000/100
 8140: 11.100000/100
 8150: 12.600000/100
 8160: 10.400000/100
 8170: 13.500000/100
 8180: 11.600000/100
 8190: 14.300000/100
 8200: 12.900000/100
 8210: 14.300000/100
 8220: 13.300000/100
 8230: 13.400000/100
 8240: 14.200000/100
 8250: 10.800000/100
 8260: 12.200000/100
 8270: 12.400000/100
 8280: 14.200000/100
 8290: 14.400000/100
 8300: 13.600000/100
 8310: 15.200000/100
 8320: 10.700000/100
 8330: 12.700000/100
 8340: 12.600000/100
 8350: 14.700000/100
 8360: 12.900000/100
 8370: 12.300000/100
 8380: 10.000000/100
 8390: 14.300000/100
 8400: 11.800000/100
 8410: 12.000000/100
 8420: 14.600000/100
 8430: 12.600000/100
 8440: 11.000000/100
 8450: 14.100000/100
 8460: 13.400000/100
 8470: 12.400000/100
 8480: 12.000000/100
 8490: 12.500000/100
 8500: 12.600000/100
 8510: 13.900000/100
 8520: 11.800000/100
 8530: 11.200000/100
 8540: 11.500000/100
 8550: 11.200000/100
 8560: 13.200000/100
 8570: 13.600000/100
 8580: 10.000000/100
 8590: 13.700000/100
 8600: 12.400000/100
 8610: 12.100000/100
 8620: 10.600000/100
 8630: 13.900000/100
 8640: 13.600000/100
 8650: 12.000000/100
 8660: 13.100000/100
 8670: 14.700000/100
 8680: 13.400000/100
 8690: 12.600000/100
 8700: 13.000000/100
 8710: 14.600000/100
 8720: 14.000000/100
 8730: 13.100000/100
 8740: 12.100000/100
 8750: 13.700000/100
 8760: 13.900000/100
 8770: 13.600000/100
 8780: 11.300000/100
 8790: 12.500000/100
 8800: 15.100000/100
 8810: 14.100000/100
 8820: 17.500000/100
 8830: 12.600000/100
 8840: 11.800000/100
 8850: 13.200000/100
 8860: 14.400000/100
 8870: 12.400000/100
 8880: 12.000000/100
 8890: 12.300000/100
 8900: 14.100000/100
 8910: 11.100000/100
 8920: 13.400000/100
 8930: 13.100000/100
 8940: 14.300000/100
 8950: 13.000000/100
 8960: 13.000000/100
 8970: 14.500000/100
 8980: 13.800000/100
 8990: 14.700000/100
 9000: 15.400000/100
 9010: 14.800000/100
 9020: 15.100000/100
 9030: 12.200000/100
 9040: 12.600000/100
 9050: 14.800000/100
 9060: 15.300000/100
 9070: 15.000000/100
 9080: 12.600000/100
 9090: 15.200000/100
 9100: 12.800000/100
 9110: 13.200000/100
 9120: 12.900000/100
 9130: 12.500000/100
 9140: 12.600000/100
 9150: 15.500000/100
 9160: 12.900000/100
 9170: 11.500000/100
 9180: 14.100000/100
 9190: 12.000000/100
 9200: 12.200000/100
 9210: 13.300000/100
 9220: 14.100000/100
 9230: 11.600000/100
 9240: 12.900000/100
 9250: 12.300000/100
 9260: 13.600000/100
 9270: 12.800000/100
 9280: 12.700000/100
 9290: 13.400000/100
 9300: 12.300000/100
 9310: 12.700000/100
 9320: 13.300000/100
 9330: 13.900000/100
 9340: 11.700000/100
 9350: 13.300000/100
 9360: 13.800000/100
 9370: 13.300000/100
 9380: 11.600000/100
 9390: 13.200000/100
 9400: 12.700000/100
 9410: 13.000000/100
 9420: 13.600000/100
 9430: 14.000000/100
 9440: 12.000000/100
 9450: 11.600000/100
 9460: 12.100000/100
 9470: 14.400000/100
 9480: 13.200000/100
 9490: 13.900000/100
 9500: 12.800000/100
 9510: 15.300000/100
 9520: 12.200000/100
 9530: 15.800000/100
 9540: 14.500000/100
 9550: 13.100000/100
 9560: 12.800000/100
 9570: 13.800000/100
 9580: 12.200000/100
 9590: 13.100000/100
 9600: 12.600000/100
 9610: 14.600000/100
 9620: 12.000000/100
 9630: 14.100000/100
 9640: 13.500000/100
 9650: 12.100000/100
 9660: 11.800000/100
 9670: 11.900000/100
 9680: 13.000000/100
 9690: 11.700000/100
 9700: 12.400000/100
